Brand_ID,Brand_Name,Sustainability_Rating,Material_Type,Eco_Friendly_Manufacturing,Carbon_Footprint_MT,Water_Usage_Liters,Waste_Production_KG,Recycling_Programs
BRAND-0757,Brand_757,D,Bamboo Fabric,Yes,446.59,3504847.3,38005.94,Yes
BRAND-0758,Brand_758,B,Hemp,No,481.37,1498516.89,32059.13,Yes
BRAND-0759,Brand_759,B,Organic Cotton,No,482.32,1676926.04,48866.01,No
BRAND-0760,Brand_760,A,Tencel,No,398.64,2212313.27,10690.05,No
BRAND-0761,Brand_761,A,Tencel,No,121.73,223692.43,98356.61,Yes
BRAND-0762,Brand_762,D,Bamboo Fabric,Yes,136.47,2177033.69,36955.25,Yes
BRAND-0763,Brand_763,D,Hemp,No,345.23,3090118.58,54365.38,Yes
BRAND-0764,Brand_764,C,Vegan Leather,Yes,444.42,1331022.8,27278.93,Yes
BRAND-0765,Brand_765,C,Vegan Leather,No,200.79,1574895.23,13564.93,Yes
BRAND-0766,Brand_766,A,Recycled Polyester,No,286.31,2871542.07,11048.18,Yes
BRAND-0767,Brand_767,A,Vegan Leather,Yes,245.07,2365135.64,32201.5,No
BRAND-0768,Brand_768,C,Organic Cotton,Yes,359.43,2843383.51,68636.51,Yes
BRAND-0769,Brand_769,B,Bamboo Fabric,No,98.16,4113888.85,24084.34,Yes
BRAND-0770,Brand_770,C,Vegan Leather,No,424.6,3624377.24,16735.72,No
BRAND-0771,Brand_771,D,Hemp,No,9.16,593087.2,80832.96,No
BRAND-0772,Brand_772,D,Bamboo Fabric,Yes,280.52,2629964.32,67758.26,No
BRAND-0773,Brand_773,D,Vegan Leather,No,239.95,4310793.18,99172.34,Yes
BRAND-0774,Brand_774,C,Tencel,No,32.99,2622392.99,40055.16,No
BRAND-0775,Brand_775,D,Bamboo Fabric,No,89,4446646.07,50314.07,No
BRAND-0776,Brand_776,A,Bamboo Fabric,No,321.74,1229332.67,90012.93,No
BRAND-0777,Brand_777,A,Organic Cotton,Yes,300.42,3782633.32,57155.03,Yes
BRAND-0778,Brand_778,A,Hemp,Yes,275.56,3008721.44,74246.41,No
BRAND-0779,Brand_779,C,Hemp,Yes,178.31,2783943.38,90381.43,No
BRAND-0780,Brand_780,C,Recycled Polyester,No,120.73,803538.81,74851.71,Yes
BRAND-0781,Brand_781,C,Vegan Leather,Yes,359.58,4502676.72,90112.66,Yes
BRAND-0782,Brand_782,D,Recycled Polyester,No,176.26,402139.79,6884.51,Yes
BRAND-0783,Brand_783,A,Tencel,Yes,169.84,2147258.55,70045.29,Yes
BRAND-0784,Brand_784,D,Tencel,Yes,274.64,3090730.5,18790.86,Yes
BRAND-0785,Brand_785,A,Recycled Polyester,No,292.27,3414064.1,1951.57,Yes
BRAND-0786,Brand_786,C,Organic Cotton,Yes,65.12,3826257.14,74057.44,No
BRAND-0787,Brand_787,C,Tencel,No,115.71,3839309.43,3041.12,No
BRAND-0788,Brand_788,A,Hemp,Yes,170.61,3314218.34,4212.8,Yes
BRAND-0789,Brand_789,C,Recycled Polyester,No,437.95,1611019.48,33174.07,Yes
BRAND-0790,Brand_790,D,Bamboo Fabric,No,451.76,702251.32,21084.02,No
BRAND-0791,Brand_791,A,Bamboo Fabric,No,138.51,4889968.2,33991.79,Yes
BRAND-0792,Brand_792,D,Vegan Leather,No,424.24,4815361.58,2168.56,Yes
BRAND-0793,Brand_793,B,Hemp,No,10.49,2256291.69,87474.84,No
BRAND-0794,Brand_794,A,Tencel,No,308.8,4169493.13,75103.73,No
BRAND-0795,Brand_795,A,Vegan Leather,No,139.97,793416.68,3177.58,No
BRAND-0796,Brand_796,B,Tencel,No,422.55,2066620.44,48212.4,No
BRAND-0797,Brand_797,D,Bamboo Fabric,No,447.71,1856658.06,26046.76,Yes
BRAND-0798,Brand_798,A,Organic Cotton,No,348.3,4946002.5,1465.71,No
BRAND-0799,Brand_799,A,Vegan Leather,No,362.65,1928560.87,26748.15,No
BRAND-0800,Brand_800,C,Hemp,No,170.89,2337929.42,73530.62,Yes
BRAND-0801,Brand_801,A,Hemp,No,31.29,810814.87,1966.9,Yes
BRAND-0802,Brand_802,D,Vegan Leather,No,344.32,541175.99,19311.72,No
BRAND-0803,Brand_803,C,Hemp,Yes,61.01,4792098.48,66435.06,No
BRAND-0804,Brand_804,B,Tencel,No,386.73,1055911.14,51530.31,Yes
BRAND-0805,Brand_805,D,Hemp,Yes,175.76,3109570.43,78031.43,Yes
BRAND-0806,Brand_806,C,Recycled Polyester,Yes,321.86,3141658.96,86771.42,No
BRAND-0807,Brand_807,C,Vegan Leather,Yes,378.74,888879.22,83674.12,No
BRAND-0808,Brand_808,A,Vegan Leather,Yes,150.81,1467953.04,48638.7,No
BRAND-0809,Brand_809,D,Vegan Leather,No,172.21,1346347.84,45374.52,Yes
BRAND-0810,Brand_810,B,Recycled Polyester,Yes,192.68,4845664.71,70010.56,Yes
BRAND-0811,Brand_811,B,Recycled Polyester,Yes,441.14,3095907.49,54241.68,Yes
BRAND-0812,Brand_812,D,Bamboo Fabric,Yes,110.04,938615.48,63212.91,Yes
BRAND-0813,Brand_813,A,Vegan Leather,No,276.55,3792665.6,40820.32,Yes
BRAND-0814,Brand_814,A,Tencel,No,77.72,3940000.59,17887.35,Yes
BRAND-0815,Brand_815,A,Tencel,No,90.62,3572955.49,70609.74,No
BRAND-0816,Brand_816,B,Organic Cotton,Yes,402.92,1676931.92,42889.72,No
BRAND-0817,Brand_817,D,Tencel,Yes,419.89,3366161.66,19115.57,Yes
BRAND-0818,Brand_818,D,Organic Cotton,No,132.02,3527912.3,68353.35,Yes
BRAND-0819,Brand_819,B,Organic Cotton,No,378.24,4340786.12,22275.23,No
BRAND-0820,Brand_820,D,Vegan Leather,Yes,371.7,2868742.9,7636.18,No
BRAND-0821,Brand_821,D,Hemp,Yes,313.18,1714800.06,10378.57,Yes
BRAND-0822,Brand_822,C,Bamboo Fabric,No,291.13,4992975.21,9634.7,Yes
BRAND-0823,Brand_823,B,Recycled Polyester,No,111.37,2686303.05,39167.21,No
BRAND-0824,Brand_824,C,Hemp,No,26.24,4807324.51,83415.26,Yes
BRAND-0825,Brand_825,B,Recycled Polyester,Yes,376.02,3517684.19,12065.5,No
BRAND-0826,Brand_826,B,Recycled Polyester,No,149.99,924809.1,14538.61,No
BRAND-0827,Brand_827,C,Tencel,Yes,259.65,3836771.2,96386.22,Yes
BRAND-0828,Brand_828,B,Organic Cotton,No,483.84,711748.74,62428.94,No
BRAND-0829,Brand_829,D,Hemp,No,421.24,1011418.79,74594.12,No
BRAND-0830,Brand_830,B,Organic Cotton,Yes,48.73,1907202.19,14248.7,Yes
BRAND-0831,Brand_831,B,Vegan Leather,No,55.28,4256149.71,46023.43,No
BRAND-0832,Brand_832,A,Vegan Leather,Yes,140.22,588831.44,57675.43,Yes
BRAND-0833,Brand_833,A,Recycled Polyester,No,15.31,2969620.22,49550.59,Yes
BRAND-0834,Brand_834,B,Bamboo Fabric,Yes,236.99,1310500.24,60075.04,Yes
BRAND-0835,Brand_835,D,Recycled Polyester,Yes,375.17,3313928.23,50766.81,Yes
BRAND-0836,Brand_836,D,Hemp,Yes,462.01,1600111.17,55322.22,Yes
BRAND-0837,Brand_837,A,Vegan Leather,No,426.97,1443811.41,74135.41,No
BRAND-0838,Brand_838,D,Vegan Leather,No,378.86,2658259.72,31925.84,No
BRAND-0839,Brand_839,A,Bamboo Fabric,No,218.48,2810070.21,4357.71,Yes
BRAND-0840,Brand_840,A,Vegan Leather,Yes,429.28,4359454.26,85757.53,No
BRAND-0841,Brand_841,D,Organic Cotton,No,293.02,3762158.15,82760.29,No
BRAND-0842,Brand_842,B,Organic Cotton,No,276.3,4213910.84,80209.73,Yes
BRAND-0843,Brand_843,D,Organic Cotton,Yes,329.83,766279.13,93057.74,No
BRAND-0844,Brand_844,B,Bamboo Fabric,Yes,324.43,248942.04,19803.53,Yes
BRAND-0845,Brand_845,B,Hemp,Yes,469.87,4204860.24,96879.99,No
BRAND-0846,Brand_846,A,Organic Cotton,No,78.91,4327455.48,24672.49,No
BRAND-0847,Brand_847,C,Organic Cotton,Yes,425.66,3373362.23,94905.88,Yes
BRAND-0848,Brand_848,A,Recycled Polyester,Yes,82.9,2306080.45,10379.22,No
BRAND-0849,Brand_849,C,Bamboo Fabric,No,311.33,2729736.86,54481.36,Yes
BRAND-0850,Brand_850,C,Tencel,No,168.01,1110589.83,2428.69,Yes
BRAND-0851,Brand_851,A,Hemp,No,389.48,3995852.69,76574.88,No
BRAND-0852,Brand_852,C,Recycled Polyester,No,54.17,2298525.81,36856.18,No
BRAND-0853,Brand_853,D,Hemp,Yes,450.19,4453715.3,17675.37,No
BRAND-0854,Brand_854,C,Recycled Polyester,No,11.35,2751336.9,62508.72,Yes
BRAND-0855,Brand_855,C,Recycled Polyester,Yes,89.25,4976718.23,16217.25,No
BRAND-0856,Brand_856,A,Tencel,No,411.59,4798532.56,70381.24,Yes
BRAND-0857,Brand_857,A,Recycled Polyester,Yes,422.95,801760.92,90809.13,Yes
BRAND-0858,Brand_858,A,Recycled Polyester,No,1.52,3600838.66,96422.44,No
BRAND-0859,Brand_859,C,Recycled Polyester,Yes,75.88,3548805.15,15098.35,No
BRAND-0860,Brand_860,A,Recycled Polyester,Yes,66.48,223269.02,12377.96,No
BRAND-0861,Brand_861,D,Organic Cotton,Yes,188.54,4376452.2,22429.15,Yes
BRAND-0862,Brand_862,A,Vegan Leather,Yes,355.02,1003753.86,57508.24,No
BRAND-0863,Brand_863,B,Hemp,Yes,352.97,3837351.72,56349.78,Yes
BRAND-0864,Brand_864,A,Tencel,Yes,268.78,4768144.72,96080.12,Yes
BRAND-0865,Brand_865,C,Vegan Leather,Yes,475.9,2210832.28,6546.47,No
BRAND-0866,Brand_866,A,Bamboo Fabric,Yes,293.66,2393737.48,27572.55,No
BRAND-0867,Brand_867,B,Hemp,No,348.38,1648121.62,89563.34,Yes
BRAND-0868,Brand_868,B,Organic Cotton,No,157.7,2695065.26,99314.94,No
BRAND-0869,Brand_869,B,Bamboo Fabric,Yes,161.57,4162396.26,87323.11,Yes
BRAND-0870,Brand_870,D,Recycled Polyester,Yes,52.16,921700.2,6602.18,Yes
BRAND-0871,Brand_871,C,Organic Cotton,No,363.03,3252330.37,39802.32,Yes
BRAND-0872,Brand_872,A,Bamboo Fabric,No,402.76,1465057.95,24389.74,No
BRAND-0873,Brand_873,D,Tencel,Yes,98.22,3543633.2,23772.73,Yes
BRAND-0874,Brand_874,A,Hemp,Yes,349.07,2952641.14,84119.98,Yes
BRAND-0875,Brand_875,C,Hemp,Yes,36.39,3956951.6,95965.1,Yes
BRAND-0876,Brand_876,C,Tencel,Yes,169.82,4302978.26,30765.54,Yes
BRAND-0877,Brand_877,D,Recycled Polyester,No,435.76,2622840.2,3859.19,No
BRAND-0878,Brand_878,A,Recycled Polyester,Yes,127.29,3025415.06,10439.14,Yes
BRAND-0879,Brand_879,D,Recycled Polyester,Yes,109.19,2398332.85,83506.71,No
BRAND-0880,Brand_880,B,Recycled Polyester,Yes,315.06,495234.42,15465.94,No
BRAND-0881,Brand_881,A,Organic Cotton,No,355.2,3845049.63,15006.6,No
BRAND-0882,Brand_882,D,Vegan Leather,Yes,227.42,238820.31,40025.65,Yes
BRAND-0883,Brand_883,D,Hemp,Yes,389.94,1029050.15,97010.02,Yes
BRAND-0884,Brand_884,C,Hemp,No,195.03,3165186.59,93606.27,Yes
BRAND-0885,Brand_885,D,Tencel,No,72.16,1837820.59,32667.74,No
BRAND-0886,Brand_886,C,Organic Cotton,Yes,52.99,1892606.18,31711.02,No
BRAND-0887,Brand_887,A,Tencel,Yes,177.05,2334515.08,25153.47,No
BRAND-0888,Brand_888,C,Recycled Polyester,No,155.13,3663933.45,24994.65,Yes
BRAND-0889,Brand_889,B,Organic Cotton,No,232.71,4349905.39,13173.78,Yes
BRAND-0890,Brand_890,B,Bamboo Fabric,No,119.01,1139845.89,63187.72,No
BRAND-0891,Brand_891,C,Recycled Polyester,No,394.75,122622.87,55512.05,No
BRAND-0892,Brand_892,A,Hemp,Yes,440.97,4531967.9,7230.29,No
BRAND-0893,Brand_893,D,Bamboo Fabric,No,233.78,3684605.41,97702.29,Yes
BRAND-0894,Brand_894,D,Hemp,No,276.81,4275461.27,65903.62,Yes
BRAND-0895,Brand_895,D,Recycled Polyester,No,418.99,1742164.59,84943.52,No
BRAND-0896,Brand_896,B,Vegan Leather,Yes,390.18,3280463.51,13180.63,No
BRAND-0897,Brand_897,C,Tencel,No,76.75,2604837.01,86151.75,Yes
BRAND-0898,Brand_898,C,Organic Cotton,Yes,121.81,1606553.84,73214.64,No
BRAND-0899,Brand_899,D,Recycled Polyester,Yes,198.96,4677462.18,69060.37,Yes
BRAND-0900,Brand_900,A,Tencel,No,314.99,3126962.05,94074.06,No
BRAND-0901,Brand_901,A,Vegan Leather,Yes,390.06,4411762.78,40909.73,Yes
BRAND-0902,Brand_902,D,Recycled Polyester,No,95.76,2193651.98,88230.78,No
BRAND-0903,Brand_903,A,Vegan Leather,Yes,235.84,3713295.22,82932.46,Yes
BRAND-0904,Brand_904,C,Organic Cotton,Yes,286.83,3604029.91,40996.84,No
BRAND-0905,Brand_905,B,Bamboo Fabric,Yes,32.24,119966.49,37448.81,Yes
BRAND-0906,Brand_906,C,Hemp,Yes,396.45,496659.27,10006.85,Yes
BRAND-0907,Brand_907,A,Recycled Polyester,No,457.91,1569577.37,65101.56,No
BRAND-0908,Brand_908,A,Organic Cotton,No,102.82,764642.01,53566.75,No
BRAND-0909,Brand_909,A,Tencel,No,450.29,693820.1,9506.03,No
BRAND-0910,Brand_910,D,Vegan Leather,No,476.9,2058365.84,61167.13,Yes
BRAND-0911,Brand_911,B,Recycled Polyester,No,156.1,2921522.91,3959.22,No
BRAND-0912,Brand_912,D,Organic Cotton,Yes,396.5,2575511.12,91784.31,Yes
BRAND-0913,Brand_913,D,Organic Cotton,No,346.36,2483383.11,73173.95,Yes
BRAND-0914,Brand_914,D,Recycled Polyester,No,278.12,3203419.65,71441.97,No
BRAND-0915,Brand_915,A,Bamboo Fabric,No,408.95,3562748.45,8196.76,No
BRAND-0916,Brand_916,C,Organic Cotton,No,232.92,639432.21,29178.25,No
BRAND-0917,Brand_917,B,Hemp,No,440.24,3051869.81,97090.03,Yes
BRAND-0918,Brand_918,D,Bamboo Fabric,No,474.88,1037364.56,88387.15,Yes
BRAND-0919,Brand_919,D,Organic Cotton,No,265.77,925669.51,49756.03,Yes
BRAND-0920,Brand_920,C,Vegan Leather,Yes,318.99,758686.29,37794.18,No
BRAND-0921,Brand_921,B,Bamboo Fabric,Yes,253.23,3306824.98,67822.11,Yes
BRAND-0922,Brand_922,B,Recycled Polyester,No,410,1816748.07,24570.95,Yes
BRAND-0923,Brand_923,A,Organic Cotton,No,238.98,4895197.34,94516.36,Yes
BRAND-0924,Brand_924,B,Recycled Polyester,Yes,329.4,3784554.13,89461.9,No
BRAND-0925,Brand_925,C,Bamboo Fabric,Yes,264.99,4458819.2,74894.2,No
BRAND-0926,Brand_926,D,Recycled Polyester,No,263.42,2446979.6,15846.81,Yes
BRAND-0927,Brand_927,B,Recycled Polyester,No,452.93,1954433.06,92924.83,Yes
BRAND-0928,Brand_928,D,Bamboo Fabric,No,300.75,3413639.43,31081.26,Yes
BRAND-0929,Brand_929,A,Tencel,No,393.64,3366572.83,79883.28,No
BRAND-0930,Brand_930,D,Tencel,Yes,478.6,3525806.38,90072.57,No
BRAND-0931,Brand_931,A,Hemp,Yes,311.47,1499083.47,98815.05,No
BRAND-0932,Brand_932,B,Organic Cotton,Yes,398.75,4830308.7,41197.18,Yes
BRAND-0933,Brand_933,C,Bamboo Fabric,Yes,352.86,4792979.9,88766.28,Yes
BRAND-0934,Brand_934,D,Organic Cotton,No,499.53,2459980.51,88023.92,No
BRAND-0935,Brand_935,C,Tencel,Yes,289.1,2469054.6,93538.46,Yes
BRAND-0936,Brand_936,A,Bamboo Fabric,No,311.75,4148440.51,30055.53,Yes
BRAND-0937,Brand_937,B,Bamboo Fabric,Yes,241.94,4503184.43,23156.36,No
BRAND-0938,Brand_938,D,Hemp,No,50.03,4509123.17,28387.07,Yes
BRAND-0939,Brand_939,D,Recycled Polyester,No,45.04,1246038.5,61572.63,Yes
BRAND-0940,Brand_940,C,Vegan Leather,Yes,308.76,294305.69,77735.06,Yes
BRAND-0941,Brand_941,B,Recycled Polyester,Yes,261.56,3291455.87,22386.13,No
BRAND-0942,Brand_942,C,Vegan Leather,No,138.59,2774574.07,98754.77,Yes
BRAND-0943,Brand_943,B,Bamboo Fabric,No,205.74,3120076.49,40932.14,No
BRAND-0944,Brand_944,D,Tencel,No,341.6,1220706.09,43339.22,No
BRAND-0945,Brand_945,A,Organic Cotton,Yes,285.81,293493.87,68898.15,Yes
BRAND-0946,Brand_946,A,Vegan Leather,No,271.29,584147.28,49139.11,Yes
BRAND-0947,Brand_947,A,Bamboo Fabric,Yes,356.52,969157.22,84097.93,No
BRAND-0948,Brand_948,C,Hemp,Yes,4.8,3195449.64,83743.31,No
BRAND-0949,Brand_949,B,Organic Cotton,No,346.38,735518.46,3215.65,No
BRAND-0950,Brand_950,C,Recycled Polyester,Yes,62.53,4324946.77,57488.81,No
BRAND-0951,Brand_951,D,Tencel,No,237.6,3899376.9,74468.99,No
BRAND-0952,Brand_952,B,Organic Cotton,Yes,214.66,670778.26,28170.99,Yes
BRAND-0953,Brand_953,A,Organic Cotton,No,40.18,4882719.86,57482.04,No
BRAND-0954,Brand_954,B,Hemp,No,346.33,687808.05,82438.58,Yes
BRAND-0955,Brand_955,B,Vegan Leather,Yes,433.95,222010.86,27498.67,No
BRAND-0956,Brand_956,D,Tencel,Yes,245.93,4466010.17,78458.08,No
BRAND-0957,Brand_957,C,Vegan Leather,No,55.75,363382.19,65952.29,No
BRAND-0958,Brand_958,B,Recycled Polyester,No,299.76,3710989.48,85590.12,No
BRAND-0959,Brand_959,A,Bamboo Fabric,No,217.49,490976.75,93101.37,Yes
BRAND-0960,Brand_960,D,Tencel,No,484.71,2647837.18,20525.25,Yes
BRAND-0961,Brand_961,B,Recycled Polyester,Yes,260.67,2238055.93,82517.01,Yes
BRAND-0962,Brand_962,A,Organic Cotton,Yes,232.57,115099.02,4388.16,No
BRAND-0963,Brand_963,A,Vegan Leather,Yes,421.84,4343071.05,38600.33,Yes
BRAND-0964,Brand_964,B,Tencel,No,53.65,4493873.55,37027.33,Yes
BRAND-0965,Brand_965,D,Hemp,No,336.22,3439801.02,83645.43,Yes
BRAND-0966,Brand_966,B,Vegan Leather,Yes,84.13,3101717.4,68241.61,Yes
BRAND-0967,Brand_967,B,Organic Cotton,No,50.92,3412234.18,47548.13,Yes
BRAND-0968,Brand_968,C,Recycled Polyester,No,260.3,1879994.59,26928.37,Yes
BRAND-0969,Brand_969,D,Hemp,No,37.01,3416547.04,79123.77,Yes
BRAND-0970,Brand_970,C,Tencel,Yes,398.52,1183670.96,26144.18,Yes
BRAND-0971,Brand_971,B,Organic Cotton,Yes,120.29,2245514.98,1567.41,Yes
BRAND-0972,Brand_972,D,Recycled Polyester,No,170.2,226489.87,74546.44,No
BRAND-0973,Brand_973,B,Bamboo Fabric,Yes,92.5,4336439.76,4073.01,No
BRAND-0974,Brand_974,A,Hemp,Yes,316.46,3323321.1,62615.2,No
BRAND-0975,Brand_975,C,Tencel,No,433.45,2083250.19,21431.1,Yes
BRAND-0976,Brand_976,B,Organic Cotton,Yes,191.06,3322779.71,41543.49,No
BRAND-0977,Brand_977,A,Bamboo Fabric,No,399.02,4432009.02,46700.37,Yes
BRAND-0978,Brand_978,C,Organic Cotton,Yes,174.97,1567516.73,17258.77,Yes
BRAND-0979,Brand_979,C,Tencel,No,33.33,4546117.41,52480.68,No
BRAND-0980,Brand_980,A,Vegan Leather,Yes,468.32,566094.37,28434.34,No
BRAND-0981,Brand_981,D,Tencel,No,159.95,1892312.26,13280.27,No
BRAND-0982,Brand_982,B,Vegan Leather,Yes,175.98,2261332.74,52574.89,Yes
BRAND-0983,Brand_983,B,Hemp,No,338.06,603172.82,81416.43,Yes
BRAND-0984,Brand_984,D,Hemp,Yes,400.82,2945443.99,55308.87,No
BRAND-0985,Brand_985,D,Hemp,Yes,3.86,4446122.06,34337.9,No
BRAND-0986,Brand_986,D,Recycled Polyester,Yes,290.51,1790313.9,9325.5,Yes
BRAND-0987,Brand_987,C,Vegan Leather,Yes,337.27,3686874.1,54474.09,No
BRAND-0988,Brand_988,B,Hemp,No,253.93,3957964.04,56503.15,No
BRAND-0989,Brand_989,B,Hemp,Yes,98.37,483729.62,55754.36,No
BRAND-0990,Brand_990,B,Recycled Polyester,No,188.67,4854856.47,15047.75,Yes
BRAND-0991,Brand_991,B,Vegan Leather,No,335.62,602874.93,60433.97,No
BRAND-0992,Brand_992,A,Vegan Leather,Yes,104.57,4059013.47,97845.91,No
BRAND-0993,Brand_993,C,Bamboo Fabric,Yes,57.55,1331366.14,1220.57,Yes
BRAND-0994,Brand_994,A,Organic Cotton,No,189.4,4470526.15,19422.99,Yes
BRAND-0995,Brand_995,A,Recycled Polyester,Yes,6.82,137394.21,88578.11,Yes
BRAND-0996,Brand_996,D,Bamboo Fabric,Yes,135.63,150993.28,56896.68,Yes
BRAND-0997,Brand_997,B,Bamboo Fabric,No,122.46,1013099.4,25806.3,Yes
BRAND-0998,Brand_998,A,Tencel,Yes,174.33,1506341.1,39627.12,Yes
BRAND-0999,Brand_999,B,Hemp,Yes,79.62,3470872.51,57361.4,No
BRAND-1000,Brand_1000,A,Recycled Polyester,No,35.73,467425.76,96482.31,No
BRAND-1001,Brand_1001,D,Organic Cotton,No,259.98,3550906.13,94801.67,No
BRAND-1002,Brand_1002,C,Recycled Polyester,No,100.5,2818494.48,76869.77,Yes
BRAND-1003,Brand_1003,B,Organic Cotton,No,387.41,3054145.69,53373.1,No
BRAND-1004,Brand_1004,D,Bamboo Fabric,No,80.43,2584461.3,54813.2,Yes
BRAND-1005,Brand_1005,B,Organic Cotton,Yes,207.84,1604708.62,40539.28,No
BRAND-1006,Brand_1006,D,Organic Cotton,Yes,91.82,3721592.47,27221,Yes
BRAND-1007,Brand_1007,A,Bamboo Fabric,Yes,32.69,4198419.33,11096.32,No
BRAND-1008,Brand_1008,A,Organic Cotton,Yes,15.18,889476.46,11826.98,No
BRAND-1009,Brand_1009,D,Organic Cotton,No,285.94,476659.65,85733.96,Yes
BRAND-1010,Brand_1010,D,Recycled Polyester,No,201.16,4060710.04,60207.88,No
BRAND-1011,Brand_1011,D,Bamboo Fabric,Yes,443.89,1315027.99,23694.23,No
BRAND-1012,Brand_1012,D,Bamboo Fabric,No,335.43,176580.53,28519.75,Yes
BRAND-1013,Brand_1013,D,Organic Cotton,No,247.07,1830354.4,2458.55,No
BRAND-1014,Brand_1014,B,Organic Cotton,No,117.02,1928338.24,27340.57,Yes
BRAND-1015,Brand_1015,B,Recycled Polyester,Yes,14.61,1732087.98,11069.46,No
BRAND-1016,Brand_1016,D,Recycled Polyester,Yes,111.73,4836556.71,78264.47,No
BRAND-1017,Brand_1017,B,Vegan Leather,Yes,33.73,4267070.1,74596.49,Yes
BRAND-1018,Brand_1018,C,Organic Cotton,Yes,135.78,4548037.98,17508.25,No
BRAND-1019,Brand_1019,D,Hemp,No,302.31,2941798.17,4042.44,No
BRAND-1020,Brand_1020,A,Vegan Leather,No,253.86,289708.82,88079.42,No
BRAND-1021,Brand_1021,A,Organic Cotton,Yes,408.9,2504977.3,58164.48,Yes
BRAND-1022,Brand_1022,A,Bamboo Fabric,Yes,94.01,3998841.45,84660.72,No
BRAND-1023,Brand_1023,D,Bamboo Fabric,Yes,154.18,2761045.49,95033.29,No
BRAND-1024,Brand_1024,C,Vegan Leather,Yes,76.42,814525.27,90924.55,Yes
BRAND-1025,Brand_1025,C,Recycled Polyester,No,8.1,3233399.64,63570.6,No
BRAND-1026,Brand_1026,A,Recycled Polyester,No,34.61,4037219.17,96471.33,Yes
BRAND-1027,Brand_1027,C,Bamboo Fabric,Yes,314.73,1610601.88,94143.04,Yes
BRAND-1028,Brand_1028,B,Hemp,Yes,98.55,457609.63,49496.52,Yes
BRAND-1029,Brand_1029,A,Bamboo Fabric,Yes,175.41,367325.74,78662,No
BRAND-1030,Brand_1030,B,Recycled Polyester,Yes,489.82,2142068.78,95232.2,No
BRAND-1031,Brand_1031,D,Recycled Polyester,Yes,159.73,650591.74,30521.91,No
BRAND-1032,Brand_1032,D,Bamboo Fabric,Yes,92.94,1643324.08,53897.92,No
BRAND-1033,Brand_1033,A,Hemp,No,363.57,2590709.15,68953.68,No
BRAND-1034,Brand_1034,A,Hemp,Yes,97.55,1470313.66,63379.07,No
BRAND-1035,Brand_1035,B,Organic Cotton,Yes,386.3,4987667.91,95944.58,No
BRAND-1036,Brand_1036,D,Recycled Polyester,Yes,313.18,4930056.86,80666.87,Yes
BRAND-1037,Brand_1037,D,Vegan Leather,No,156.78,778050.61,65592.01,No
BRAND-1038,Brand_1038,A,Bamboo Fabric,Yes,118.13,1141291.32,51312.27,No
BRAND-1039,Brand_1039,B,Recycled Polyester,No,447.65,2773503.96,28616.64,Yes
BRAND-1040,Brand_1040,A,Vegan Leather,No,419.1,4080376.22,29288.06,No
BRAND-1041,Brand_1041,C,Recycled Polyester,Yes,314.99,2140533.29,76580.28,Yes
BRAND-1042,Brand_1042,B,Bamboo Fabric,Yes,400.6,1957898.12,5913.02,Yes
BRAND-1043,Brand_1043,D,Organic Cotton,No,289.46,1630126.76,48849.66,No
BRAND-1044,Brand_1044,C,Recycled Polyester,No,423.47,806264.7,7239.43,Yes
BRAND-1045,Brand_1045,C,Recycled Polyester,Yes,78.9,3217713.33,93507.57,No
BRAND-1046,Brand_1046,C,Hemp,Yes,303.78,3564578.17,6142.68,Yes
BRAND-1047,Brand_1047,D,Hemp,Yes,399.15,413003.66,52598.51,No
BRAND-1048,Brand_1048,B,Organic Cotton,Yes,61.78,3115210.66,50656.96,No
BRAND-1049,Brand_1049,B,Bamboo Fabric,Yes,174.74,996839.27,72843.81,Yes
BRAND-1050,Brand_1050,B,Bamboo Fabric,No,95.14,1879469.06,20969.35,No
BRAND-1051,Brand_1051,A,Bamboo Fabric,No,299.79,2060965.96,58820.18,Yes
BRAND-1052,Brand_1052,C,Hemp,Yes,52.99,4619743.9,9921.39,Yes
BRAND-1053,Brand_1053,B,Vegan Leather,Yes,165.92,985570.05,28960.47,No
BRAND-1054,Brand_1054,B,Tencel,Yes,157.39,1913905.23,80110.81,No
BRAND-1055,Brand_1055,D,Organic Cotton,No,279.37,3160951.56,30755.85,Yes
BRAND-1056,Brand_1056,D,Bamboo Fabric,Yes,171.66,3675602.79,30071.43,No
BRAND-1057,Brand_1057,C,Bamboo Fabric,No,378.68,3323826.38,46696.45,No
BRAND-1058,Brand_1058,D,Hemp,No,275.4,2037252.25,58979.73,No
BRAND-1059,Brand_1059,A,Vegan Leather,No,52.81,2223494.08,82116.62,Yes
BRAND-1060,Brand_1060,B,Bamboo Fabric,No,131.43,4693614.28,28305.17,No
BRAND-1061,Brand_1061,D,Organic Cotton,Yes,362.24,510482.13,4107.13,No
BRAND-1062,Brand_1062,A,Recycled Polyester,No,440.17,1224173.61,33049.92,Yes
BRAND-1063,Brand_1063,C,Organic Cotton,Yes,324.88,4018026.57,8659.89,Yes
BRAND-1064,Brand_1064,D,Hemp,No,309.35,1993591.25,43134.11,No
BRAND-1065,Brand_1065,D,Organic Cotton,Yes,339.7,3872751.55,98115.48,Yes
BRAND-1066,Brand_1066,B,Hemp,No,127.63,1589757.93,57785.05,Yes
BRAND-1067,Brand_1067,C,Vegan Leather,Yes,381.18,630550.74,47082.28,No
